"ID_REF"	"GSM101095"	"GSM101096"	"GSM101097"	"GSM101098"	"GSM101099"	"GSM101100"	"GSM101101"	"GSM101102"	"GSM101103"	"GSM101104"	"GSM101105"	"GSM101106"	"GSM101107"	"GSM101108"	"GSM101109"	"GSM101110"	"GSM101111"	"GSM101112"	"GSM101113"	"GSM101114"	"GSM101115"	"GSM101116"
"226858_at"	223.68019	185.7736	227.3511	205.85986	198.52017	204.64166	138.95163	176.91328	97.5109	198.5961	144.63008	192.9432	147.24359	154.23743	136.18242	122.92032	228.30003	157.01917	157.31377	164.54016	154.2695	152.69804
"226859_at"	91.142265	171.1394	225.93515	360.18616	121.59216	170.02643	285.0617	231.64436	209.71078	186.6007	216.25983	253.27414	137.00732	53.392647	195.21309	104.75989	232.45787	241.86505	195.0777	285.94864	220.84908	273.04883
"226860_at"	277.68893	431.3245	418.65488	487.40875	336.3759	373.74954	507.32712	596.97076	421.03723	405.10376	376.78418	391.271	295.69858	123.997986	263.6748	296.53616	438.9665	401.4645	447.59766	395.7303	380.61566	439.25607
"226861_at"	176.46565	280.25937	237.93494	310.09845	259.25986	210.90787	328.06818	292.99115	195.67441	221.9633	167.19402	259.49384	153.11203	115.367775	130.91284	147.96078	250.38979	211.25954	162.3165	212.65733	264.7798	218.11432
"226862_at"	95.29926	90.16693	81.03095	96.85652	92.128235	82.61559	112.212364	100.48632	81.33809	100.3678	97.41618	94.6893	87.29083	112.55566	97.42292	93.13783	78.8393	77.93336	102.54033	78.60975	105.77196	87.60649
"226863_at"	17.1302	40.34106	61.078953	90.40815	34.18113	57.633327	60.768112	37.226498	46.902607	37.821686	48.451347	49.501812	37.060207	34.855015	57.45355	40.33828	57.104656	97.9178	48.43788	101.038765	53.48539	67.95361
"226864_at"	11.713232	12.643542	18.845156	20.632725	12.876485	13.53171	15.172257	14.124348	17.514975	9.911922	11.968856	13.224338	11.55575	14.743462	14.562408	9.438852	17.887264	13.58017	12.508664	11.786639	11.019514	11.41939
"226865_at"	22.930344	129.46246	37.134247	51.291046	30.140118	32.552025	35.165493	30.375364	72.916725	39.028564	30.684774	30.181984	90.895874	45.307358	47.382027	24.062887	285.42322	36.976707	25.692953	60.937107	25.823036	36.578445
"226866_at"	119.02432	350.8948	411.40924	478.26733	135.79543	336.72058	449.63733	351.94983	361.17523	348.37073	309.2444	336.47534	323.5566	70.79204	404.33124	125.88222	416.79926	419.12027	278.47073	433.1475	426.23517	374.26886
"226867_at"	374.048	748.1028	734.56915	967.10925	443.5612	636.383	823.0402	695.17773	781.13837	733.9575	889.38074	919.5781	693.68335	365.18375	688.4068	521.99176	917.7291	737.32745	771.3045	844.1747	776.0576	851.14703
"226868_at"	32.856224	100.89346	95.675446	130.51593	33.768436	101.13006	186.84393	112.050835	116.44995	88.20443	95.527794	111.02887	56.600506	38.104332	92.16184	36.19264	114.11731	101.23722	64.97373	86.175514	112.21434	118.301476
"226869_at"	23.818592	35.30124	36.920273	59.37336	23.86658	44.20144	31.176447	26.72762	30.93929	29.40951	34.97439	40.248783	22.720404	34.328568	27.891418	36.14931	44.199142	31.090002	33.177094	28.232307	27.15305	38.00989
"226870_at"	220.16026	126.613884	116.48022	156.48601	140.44984	159.7457	115.516014	119.79093	162.76797	131.6556	169.80815	161.58025	195.00664	174.49228	149.45241	207.56735	107.466675	125.9652	132.60483	122.66889	125.07436	104.51655
"226871_s_at"	137.86589	70.52227	76.6723	66.42393	105.75355	123.16803	62.3383	77.82522	96.65836	90.61553	95.35217	87.10917	95.989746	85.38205	98.92215	100.211136	73.59305	69.55965	128.33504	67.95125	78.8434	58.03477
"226872_at"	1605.6084	811.3403	959.4193	1376.5149	937.4635	1209.0895	1021.97955	1230.1707	1062.4889	1180.9695	1219.7538	1417.8271	729.7917	410.95242	981.3783	1044.0652	719.03046	805.3366	1335.6407	896.3221	1190.5997	1108.2909
"226873_at"	32.081486	118.35486	138.35963	200.08691	38.08778	125.21322	184.71593	134.79745	143.65196	147.68884	190.6068	204.68773	68.08702	27.294779	96.12138	31.577732	143.86652	91.581436	128.17255	107.1576	136.31248	145.4531
"226874_at"	374.64545	527.69324	626.71606	589.1078	554.6408	660.6673	720.9046	672.44257	782.1686	616.38306	557.159	464.9521	453.66592	265.35498	342.67435	316.14087	556.6083	476.28757	487.08743	531.46136	493.51105	594.25195
